****** Levels
 8.49102203E+15      4.    2  'O II 4So 1'  0   0.  0
  0.1335  0.1567  0.1506  0.1914  0.2185  0.3316  0.5169  0.7111  0.9381  1.1102
  1.1955  1.1860  1.0818  0.8832  0.6219  0.3389  0.2628  0.3026  0.3884  0.5717
  0.6851  0.7133  0.6528  0.5083 -0.0797 -0.1642 -0.1855 -0.1563 -0.1153 -0.0542
  0.0467  0.3221  0.4270  0.6715  0.7329  0.7373  0.6701  0.5319  0.3465  0.1473
 -0.0131 -0.1101 -0.1814 -0.2119 -0.2487 -0.3078 -0.3292 -0.4372 -0.5629 -0.6187
 -0.7251 -2.6137
  10  30   1    145      0      0      0   3.467E-19   0.000E+00
 -0.0205  0.1217  0.1282  0.1734  0.1799  0.1928  0.1993  0.2058  0.2122  0.2187
  0.2252  0.2316  0.2381  0.2446  0.2575  0.2640  0.2769  0.2834  0.2898  0.2963
  0.3157  0.3222  0.3286  0.3416  0.3610  0.3674  0.3739  0.3804  0.3868  0.3997
  0.4062  0.4127  0.4191  0.4256  0.4321  0.4385  0.4450  0.4515  0.4903  0.5420
  0.5743  0.6390  0.7489  0.8459  1.4180
  0.2412  0.2036  0.2437  0.6147  0.7513  1.2660  1.3824  1.3988  1.3147  1.1343
  0.8846  0.5958  0.3326  0.2961  0.2507  0.2404  0.4661  0.5350  0.5359  0.4705
  0.1042  0.0108 -0.0255 -0.0527 -0.0604 -0.0527 -0.0287  0.0302  0.1991  0.7273
  0.9233  1.0293  1.0347  0.9430  0.7631  0.5122  0.2267  0.0745 -0.3002 -0.3779
 -0.4307 -0.5460 -0.7572 -1.0420 -2.7610
  11  30   1    151      0      0      0   2.809E-19   0.000E+00
 -0.0210  0.0760  0.1278  0.1342  0.1730  0.1795  0.1860  0.1924  0.1989  0.2054
  0.2118  0.2183  0.2248  0.2377  0.2442  0.2506  0.2571  0.2636  0.2700  0.2765
  0.2829  0.2894  0.2959  0.3023  0.3153  0.3217  0.3282  0.3347  0.3476  0.3670
  0.3799  0.3864  0.3929  0.3993  0.4058  0.4123  0.4187  0.4252  0.4317  0.4381
