****** Levels
 1.87322894E+16      1.    2  'N IV 1Se 1'  0   0.   0  
 1.67133928E+16      9.    2  'N IV 3Po 1'  0   0.   0  
 1.48143397E+16      3.    2  'N IV 1Po 1'  0   0.   0  
 1.34660496E+16      9.    2  'N IV 3Pe 1'  0   0.   0
 1.30699344E+16      5.    2  'N IV 1De 1'  0   0.   0
 1.16763464E+16      1.    2  'N IV 1Se 2'  0   0.   0
 7.42202293E+15      3.    3  'N IV 3Se 1'  0   0.   -102  
 7.07515546E+15      1.    3  'N IV 1Se 3'  0   0.   -102  
 6.60548307E+15      3.    3  'N IV 1Po 2'  0   0.   -102  
 6.56103875E+15      9.    3  'N IV 3Po 2'  0   0.   -102  
 6.13992311E+15     15.    3  'N IV 3De 1'  0   0.   -102  
 5.86690922E+15      5.    3  'N IV 1De 2'  0   0.   -102  
 4.77886891E+15      9.    3  'N IV 3Po 3'  0   0.   -102  
 4.55177950E+15      3.    3  'N IV 1Po 3'  0   0.   -102  
 4.31630201E+15      3.    3  'N IV 1Pe 1'  0   0.   -102  
   2  17   0   0   4      0      0   0.000E+00   5.000E-02
   2  18  -1   0   1      0      0   1.267E-01   2.000E-01
  F  1  7  0.  0.
   2  19   0   0   4      0      0   0.000E+00   5.000E-02
   2  20  -1   0   1      0      0   5.558E-02   2.000E-01
  F  1  7  0.  0.
   2  21   0   0   4      0      0   0.000E+00   5.000E-02
   2  22  -1   0   1      0      0   2.966E-02   2.000E-01
  F  1  7  0.  0.
   2  23   0   0   4      0      0   0.000E+00   5.000E-02
   3   4   0   0   4      0      0   0.000E+00   5.000E-02
   3   5  -1   0   1      0      0   1.710E-01   7.000E-01
  F  1  7  0.  0.
   3   6  -1   0   1      0      0   1.410E-01   7.000E-01
  F  1  7  0.  0.
   3   7   0   0   4      0      0   0.000E+00   5.000E-02
   3   8  -1   0   1      0      0   1.870E-02   2.000E-01
  F  1  7  0.  0.
   3   9   0   0   4      0      0   0.000E+00   5.000E-02
   3  10   0   0   4      0      0   0.000E+00   5.000E-02
   3  11   0   0   4      0      0   0.000E+00   5.000E-02
   3  12  -1   0   1      0      0   5.233E-01   2.000E-01
  F  1  7  0.  0.
   3  13   0   0   4      0      0   0.000E+00   5.000E-02
   3  14   0   0   4      0      0   0.000E+00   5.000E-02
   3  15  -1   0   1      0      0   8.767E-02   2.000E-01
  F  1  7  0.  0.
