****** Levels
 3.51607927E+15      4.    1  'n1   4So 1'  0   0.  0
   0.054  -0.232  -0.266   0.063   1.413   0.149  -0.171  -0.275  -0.396  -0.137
   0.919  -0.050   0.409   2.045  -0.284  -0.561  -0.734  -0.301  -0.829  -0.673
  -0.067  -0.673  -0.846  -0.872  -0.647  -0.033  -0.725  -0.968  -1.221  -3.007
  12  22   1    139      0      0      0   1.440E-19   0.000E+00
  -0.000   0.048   0.063   0.063   0.073   0.089   0.101   0.104   0.108   0.117
   0.144   0.233   0.237   0.491   0.528   0.644   0.664   0.670   0.679   0.695
   0.710   0.738   0.747   0.767   0.786   0.790   0.854   0.864   0.866   0.871
   0.881   0.894   0.896   0.916   0.940   0.955   1.032   1.171   1.847
   0.159   0.138  -0.279   1.193   0.289   0.236   0.343   1.177   0.089   0.163
   0.195   0.187   0.289   0.052  -0.144  -0.152  -0.014   0.431   2.138   0.283
   0.068   0.283   1.099  -0.185  -0.556  -0.296  -0.481  -0.059   1.077   0.001
  -0.229   0.320   1.336   0.372  -0.222  -0.430  -0.674  -0.924  -2.966
  13  22   1    147      0      0      0   3.337E-19   0.000E+00
  -0.000   0.091   0.107   0.109   0.120   0.134   0.174   0.360   0.623   0.650
   0.664   0.672   0.677   0.688   0.729   0.739   0.743   0.747   0.760   0.769
   0.772   0.808   0.854   0.878   0.885   0.888   0.893   0.906   0.926   0.928
   0.932   0.934   0.942   0.958   0.966   0.974   0.984   0.988   0.989   0.994
   1.002   1.003   1.005   1.024   1.128   1.235   1.904
   0.524   0.058  -0.202  -1.256   0.617   0.181  -0.010  -0.187  -0.341  -0.273
  -0.116   0.232  -0.244  -0.425  -0.357  -0.273   0.389  -0.445  -0.357   0.154
  -0.278  -0.258  -0.057   0.521   1.489   2.610   0.932   0.046  -0.195   1.052
   0.020  -0.068  -0.113   0.331   1.958   0.293  -0.347  -0.107   1.116   0.019
  -0.374   0.751  -0.059  -0.151  -0.259  -0.197  -2.203
  14  22   1    130      0      0      0   1.860E-20   0.000E+00
  -0.212  -0.206   0.023   0.039   0.610   0.802   0.883   0.901   0.910   0.914
   0.914   0.921   0.944   0.972   0.983   0.985   0.990   0.996   1.018   1.062
   1.109   1.127   1.135   1.140   1.141   1.151   1.176   1.224   1.358   2.057
  -0.607  -0.110  -0.800  -0.262  -2.138  -2.469  -2.444  -2.014  -0.823   1.190
  -0.913  -1.944  -2.354  -1.734  -0.612   1.430  -0.712  -1.593  -2.515  -2.795
  -2.695  -2.244  -1.283   1.550  -0.692  -2.414  -2.775  -2.910  -3.035  -5.103
  15  22   1    127      0      0      0   4.135E-20   0.000E+00
  -0.222  -0.190   0.023   0.055   0.568   0.824   0.882   0.897   0.916   0.918
   0.928   0.951   0.978   0.988   0.993   1.000   1.009   1.103   1.136   1.144
   1.151   1.162   1.206   1.274   1.383   1.411   2.078
  -0.317   0.207  -0.455   0.041  -1.655  -2.276  -2.145  -1.804  -0.593   1.410
  -1.244  -1.784  -1.394  -0.873   1.650  -0.913  -1.934  -2.485  -1.294   1.830
  -1.033  -2.185  -2.625  -2.745  -2.645  -2.365  -4.400
  16  22   1    132      0      0      0   3.701E-20   0.000E+00
  -0.148  -0.121  -0.084  -0.068   0.082   0.114   0.397   0.488   0.600   0.979
   1.024   1.048   1.058   1.079   1.107   1.125   1.134   1.141   1.198   1.260
   1.271   1.280   1.282   1.284   1.285   1.289   1.300   1.359   1.419   1.434
   1.448   2.148
  -1.228  -0.607  -0.786  -0.207  -0.703  -0.552  -1.462  -1.669  -1.697  -2.110
  -1.997  -1.683   0.543  -2.111  -2.168  -1.664   1.275  -2.016  -2.387  -2.416
  -2.346  -1.921  -0.692   1.788  -1.029  -2.046  -2.416  -2.625  -2.730  -2.492
  -2.745  -4.800
  17  22   1    162      0      0      0   1.383E-19   0.000E+00
  -0.164  -0.120  -0.102  -0.089  -0.085  -0.067  -0.055  -0.042  -0.014  -0.003
   0.005   0.021   0.039   0.047   0.054   0.056   0.062   0.068   0.084   0.089
   0.104   0.108   0.111   0.131   0.143   0.146   0.150   0.164   0.173   0.185
   0.195   0.197   0.211   0.400   0.437   0.519   0.660   0.824   1.027   1.075
   1.085   1.096   1.118   1.152   1.168   1.168   1.192   1.224   1.237   1.259
   1.291   1.315   1.329   1.370   1.422   1.466   1.492   1.501   1.515   1.539
   1.571   2.313
  -1.476  -1.433  -0.821  -0.828  -0.424  -0.417   0.404   0.063   0.017   0.195
   0.039   0.837  -0.071   0.146  -0.071   0.028   0.594  -0.020   0.716  -0.317
  -0.354   0.205  -0.339  -0.356  -0.244   0.752  -0.163  -0.347   0.422  -0.247
   0.756  -0.163  -0.475  -1.108  -0.945  -1.100  -1.325  -1.425  -1.669  -1.248
